DATE,CCLACBW027SBOG
2000-06-28,211.4984
2000-07-05,212.0107
2000-07-12,210.8742
2000-07-19,212.5366
2000-07-26,211.7856
2000-08-02,212.4495
2000-08-09,214.5759
2000-08-16,218.6144
2000-08-23,220.4691
2000-08-30,218.8658
2000-09-06,219.8818
2000-09-13,219.3802
2000-09-20,225.9879
2000-09-27,224.8151
2000-10-04,220.3899
2000-10-11,219.1603
2000-10-18,222.0012
2000-10-25,221.2804
2000-11-01,219.9623
2000-11-08,217.4743
2000-11-15,222.6617
2000-11-22,224.2269
2000-11-29,225.5697
2000-12-06,223.1558
2000-12-13,223.6603
2000-12-20,229.1973
2000-12-27,233.0731
2001-01-03,232.9707
2001-01-10,228.9171
2001-01-17,231.8895
2001-01-24,232.1858
2001-01-31,229.9494
2001-02-07,227.7247
2001-02-14,230.4895
2001-02-21,231.9318
2001-02-28,228.2247
2001-03-07,226.9763
2001-03-14,227.1582
2001-03-21,228.2073
2001-03-28,230.1571
2001-04-04,228.7818
2001-04-11,229.9442
2001-04-18,232.9681
2001-04-25,233.9747
2001-05-02,234.7593
2001-05-09,232.9688
2001-05-16,236.7203
2001-05-23,237.5545
2001-05-30,235.6916
2001-06-06,233.9898
2001-06-13,232.1956
2001-06-20,233.0688
2001-06-27,234.8839
2001-07-04,230.662
2001-07-11,230.1049
2001-07-18,232.1408
2001-07-25,234.0398
2001-08-01,231.7478
2001-08-08,231.1125
2001-08-15,233.7186
2001-08-22,236.2403
2001-08-29,234.1255
2001-09-05,233.5685
2001-09-12,232.0061
2001-09-19,235.912
2001-09-26,231.6399
2001-10-03,230.2335
2001-10-10,228.5542
2001-10-17,235.265
2001-10-24,235.9796
2001-10-31,235.5588
2001-11-07,236.1648
2001-11-14,236.3912
2001-11-21,241.1495
2001-11-28,243.0663
2001-12-05,239.285
2001-12-12,240.1544
2001-12-19,241.41
2001-12-26,245.5466
2002-01-02,242.227
2002-01-09,241.0718
2002-01-16,241.5572
2002-01-23,241.9617
2002-01-30,240.2171
2002-02-06,243.0568
2002-02-13,237.3489
2002-02-20,241.1857
2002-02-27,241.4786
2002-03-06,240.0633
2002-03-13,236.7394
2002-03-20,241.6321
2002-03-27,242.9579
2002-04-03,240.781
2002-04-10,241.5307
2002-04-17,248.7878
2002-04-24,249.5651
2002-05-01,245.6669
2002-05-08,245.2449
2002-05-15,246.2864
2002-05-22,243.3034
2002-05-29,246.037
2002-06-05,240.5795
2002-06-12,241.2747
2002-06-19,248.0341
2002-06-26,245.8855
2002-07-03,237.1364
2002-07-10,236.2777
2002-07-17,240.1605
2002-07-24,242.0059
2002-07-31,242.7704
2002-08-07,243.9738
2002-08-14,246.9701
2002-08-21,251.6259
2002-08-28,254.3968
2002-09-04,254.5682
2002-09-11,253.6802
2002-09-18,257.5604
2002-09-25,256.2303
2002-10-02,254.7257
2002-10-09,252.4626
2002-10-16,257.7711
2002-10-23,257.3218
2002-10-30,256.1896
2002-11-06,251.4465
2002-11-13,251.0751
2002-11-20,252.3426
2002-11-27,253.4292
2002-12-04,252.0311
2002-12-11,254.0004
2002-12-18,256.8889
2002-12-25,256.2122
2003-01-01,254.1186
2003-01-08,252.0347
2003-01-15,251.7431
2003-01-22,252.6573
2003-01-29,249.7486
2003-02-05,244.8187
2003-02-12,244.6304
2003-02-19,249.3678
2003-02-26,249.2907
2003-03-05,246.0011
2003-03-12,241.5903
2003-03-19,246.4682
2003-03-26,243.6968
2003-04-02,240.8543
2003-04-09,239.3809
2003-04-16,239.4778
2003-04-23,240.1761
2003-04-30,240.3384
2003-05-07,245.6499
2003-05-14,247.8173
2003-05-21,248.8825
2003-05-28,252.5367
2003-06-04,244.51
2003-06-11,244.4137
2003-06-18,247.807
2003-06-25,244.2278
2003-07-02,244.6149
2003-07-09,243.1939
2003-07-16,245.7004
2003-07-23,246.7736
2003-07-30,248.7564
2003-08-06,243.7614
2003-08-13,244.3882
2003-08-20,247.4767
2003-08-27,246.6949
2003-09-03,244.7413
2003-09-10,243.7473
2003-09-17,246.2026
2003-09-24,244.4942
2003-10-01,240.6546
2003-10-08,238.6246
2003-10-15,240.8811
2003-10-22,239.6185
2003-10-29,240.1106
2003-11-05,267.3027
2003-11-12,269.7558
2003-11-19,274.5773
2003-11-26,272.6055
2003-12-03,270.5052
2003-12-10,271.4163
2003-12-17,283.7202
2003-12-24,287.1398
2003-12-31,285.5602
2004-01-07,283.8796
2004-01-14,282.6611
2004-01-21,284.9815
2004-01-28,283.481
2004-02-04,279.6925
2004-02-11,278.5777
2004-02-18,285.6346
2004-02-25,283.8672
2004-03-03,278.0516
2004-03-10,277.3262
2004-03-17,279.6087
2004-03-24,282.7117
2004-03-31,278.9884
2004-04-07,279.6374
2004-04-14,281.123
2004-04-21,281.0937
2004-04-28,282.7293
2004-05-05,281.1923
2004-05-12,280.7163
2004-05-19,287.8018
2004-05-26,287.8777
2004-06-02,287.0785
2004-06-09,287.0663
2004-06-16,287.8907
2004-06-23,289.7743
2004-06-30,285.4123
2004-07-07,286.3757
2004-07-14,286.9859
2004-07-21,289.6067
2004-07-28,289.3184
2004-08-04,287.483
2004-08-11,286.6199
2004-08-18,291.5591
2004-08-25,294.0931
2004-09-01,292.383
2004-09-08,291.8599
2004-09-15,295.711
2004-09-22,296.6891
2004-09-29,293.251
2004-10-06,291.5599
2004-10-13,288.5711
2004-10-20,292.7792
2004-10-27,291.8973
2004-11-03,290.9955
2004-11-10,286.7926
2004-11-17,287.3907
2004-11-24,287.3666
2004-12-01,286.7669
2004-12-08,287.4469
2004-12-15,290.9606
2004-12-22,296.9349
2004-12-29,309.0006
2005-01-05,309.0221
2005-01-12,305.4378
2005-01-19,304.1594
2005-01-26,302.7418
2005-02-02,298.0653
2005-02-09,294.2591
2005-02-16,301.2313
2005-02-23,301.2587
2005-03-02,300.9477
2005-03-09,298.2637
2005-03-16,300.1047
2005-03-23,299.8646
2005-03-30,300.3723
2005-04-06,299.7768
2005-04-13,298.4395
2005-04-20,303.2952
2005-04-27,304.1654
2005-05-04,299.6055
2005-05-11,297.2681
2005-05-18,300.8973
2005-05-25,299.8158
2005-06-01,298.428
2005-06-08,298.9753
2005-06-15,302.151
2005-06-22,304.4701
2005-06-29,301.8983
2005-07-06,300.7432
2005-07-13,300.5992
2005-07-20,304.3979
2005-07-27,304.8071
2005-08-03,301.8788
2005-08-10,301.3663
2005-08-17,302.8237
2005-08-24,303.0877
2005-08-31,300.923
2005-09-07,300.9769
2005-09-14,305.4887
2005-09-21,306.3264
2005-09-28,306.0098
2005-10-05,294.8692
2005-10-12,293.3837
2005-10-19,295.5096
2005-10-26,298.0299
2005-11-02,299.5839
2005-11-09,297.6605
2005-11-16,301.8578
2005-11-23,301.733
2005-11-30,299.1979
2005-12-07,297.9747
2005-12-14,304.353
2005-12-21,303.7649
2005-12-28,305.7271
2006-01-04,303.425
2006-01-11,300.72
2006-01-18,304.8713
2006-01-25,304.0656
2006-02-01,297.8111
2006-02-08,296.4638
2006-02-15,297.9692
2006-02-22,296.7072
2006-03-01,293.1394
2006-03-08,291.1893
2006-03-15,290.8893
2006-03-22,293.6604
2006-03-29,293.0862
2006-04-05,289.9366
2006-04-12,293.4741
2006-04-19,295.9033
2006-04-26,298.3763
2006-05-03,297.017
2006-05-10,298.0514
2006-05-17,303.7928
2006-05-24,304.6158
2006-05-31,301.9649
2006-06-07,298.5788
2006-06-14,301.8542
2006-06-21,296.5287
2006-06-28,296.7753
2006-07-05,297.7775
2006-07-12,296.0625
2006-07-19,303.0572
2006-07-26,302.4431
2006-08-02,299.9571
2006-08-09,300.6577
2006-08-16,304.1253
2006-08-23,306.6318
2006-08-30,304.4239
2006-09-06,304.6411
2006-09-13,303.517
2006-09-20,304.7688
2006-09-27,303.5428
2006-10-04,300.9848
2006-10-11,300.7532
2006-10-18,300.6264
2006-10-25,300.1184
2006-11-01,300.4561
2006-11-08,300.7829
2006-11-15,302.8814
2006-11-22,304.1527
2006-11-29,305.5923
2006-12-06,307.8128
2006-12-13,311.6661
2006-12-20,312.944
2006-12-27,315.8283
2007-01-03,315.1607
2007-01-10,314.6136
2007-01-17,316.9192
2007-01-24,317.8596
2007-01-31,312.0237
2007-02-07,311.3771
2007-02-14,314.9896
2007-02-21,311.8893
2007-02-28,302.8616
2007-03-07,303.0557
2007-03-14,301.9126
2007-03-21,303.8652
2007-03-28,302.4373
2007-04-04,304.5242
2007-04-11,305.8705
2007-04-18,308.9634
2007-04-25,310.2454
2007-05-02,308.9462
2007-05-09,308.6082
2007-05-16,310.8031
