DATE,RHEACBW027SBOG
1987-06-17,23.6395
1987-06-24,23.8921
1987-07-01,24.3404
1987-07-08,24.5816
1987-07-15,24.8821
1987-07-22,25.069
1987-07-29,25.3675
1987-08-05,25.6232
1987-08-12,25.9185
1987-08-19,26.1612
1987-08-26,26.4631
1987-09-02,26.7269
1987-09-09,27.1653
1987-09-16,27.2919
1987-09-23,27.5402
1987-09-30,27.9737
1987-10-07,28.0652
1987-10-14,28.2993
1987-10-21,28.5533
1987-10-28,28.7551
1987-11-04,29.0446
1987-11-11,29.5679
1987-11-18,29.5372
1987-11-25,29.7116
1987-12-02,29.8846
1987-12-09,30.0421
1987-12-16,30.3384
1987-12-23,30.7483
1987-12-30,31.4641
1988-01-06,31.4271
1988-01-13,31.735
1988-01-20,31.8634
1988-01-27,32.0443
1988-02-03,32.1395
1988-02-10,32.3625
1988-02-17,32.4854
1988-02-24,32.5145
1988-03-02,32.7134
1988-03-09,32.8974
1988-03-16,32.9362
1988-03-23,33.057
1988-03-30,33.172
1988-04-06,33.6278
1988-04-13,33.5842
1988-04-20,33.8012
1988-04-27,34.0343
1988-05-04,34.2609
1988-05-11,34.4609
1988-05-18,34.5771
1988-05-25,34.7637
1988-06-01,34.9426
1988-06-08,35.1335
1988-06-15,35.2954
1988-06-22,35.4907
1988-06-29,35.7025
1988-07-06,35.8165
1988-07-13,35.9251
1988-07-20,36.1105
1988-07-27,36.3274
1988-08-03,36.5899
1988-08-10,36.7745
1988-08-17,37.0512
1988-08-24,37.2692
1988-08-31,37.5022
1988-09-07,37.6445
1988-09-14,38.0728
1988-09-21,38.4337
1988-09-28,38.5751
1988-10-05,38.9387
1988-10-12,39.1267
1988-10-19,39.2647
1988-10-26,39.4831
1988-11-02,39.8567
1988-11-09,40.0449
1988-11-16,40.2695
1988-11-23,40.5958
1988-11-30,40.7908
1988-12-07,40.8807
1988-12-14,41.0525
1988-12-21,41.3088
1988-12-28,41.296
1989-01-04,41.9778
1989-01-11,42.0322
1989-01-18,42.1784
1989-01-25,42.1621
1989-02-01,42.4219
1989-02-08,42.8881
1989-02-15,43.0026
1989-02-22,43.3294
1989-03-01,43.5865
1989-03-08,43.7396
1989-03-15,44.0079
1989-03-22,44.1768
1989-03-29,44.4376
1989-04-05,44.4561
1989-04-12,44.6363
1989-04-19,44.8355
1989-04-26,45.1437
1989-05-03,45.3073
1989-05-10,45.6131
1989-05-17,45.7239
1989-05-24,45.9357
1989-05-31,46.0862
1989-06-07,46.3197
1989-06-14,46.5072
1989-06-21,46.7089
1989-06-28,47.0536
1989-07-05,47.1029
1989-07-12,47.3797
1989-07-19,47.6371
1989-07-26,47.6742
1989-08-02,47.8745
1989-08-09,48.1272
1989-08-16,48.3454
1989-08-23,48.5144
1989-08-30,48.6844
1989-09-06,48.8073
1989-09-13,48.9564
1989-09-20,49.2131
1989-09-27,49.3635
1989-10-04,49.1274
1989-10-11,49.3562
1989-10-18,49.609
1989-10-25,49.806
1989-11-01,50.073
1989-11-08,50.1928
1989-11-15,50.4212
1989-11-22,50.6663
1989-11-29,50.8131
1989-12-06,51.0642
1989-12-13,51.3529
1989-12-20,51.4568
1989-12-27,51.6537
1990-01-03,52.0273
1990-01-10,52.278
1990-01-17,52.403
1990-01-24,52.572
1990-01-31,52.818
1990-02-07,52.9232
1990-02-14,53.0753
1990-02-21,53.241
1990-02-28,53.2725
1990-03-07,53.598
1990-03-14,53.8935
1990-03-21,54.0895
1990-03-28,54.1774
1990-04-04,54.2056
1990-04-11,54.5822
1990-04-18,54.8394
1990-04-25,55.1566
1990-05-02,55.2862
1990-05-09,55.4424
1990-05-16,55.7355
1990-05-23,56.0009
1990-05-30,56.2457
1990-06-06,56.519
1990-06-13,56.6492
1990-06-20,56.894
1990-06-27,57.1219
1990-07-04,57.2189
1990-07-11,57.5997
1990-07-18,57.8743
1990-07-25,58.3796
1990-08-01,58.6243
1990-08-08,58.8065
1990-08-15,59.005
1990-08-22,59.2954
1990-08-29,59.3572
1990-09-05,59.4607
1990-09-12,59.7162
1990-09-19,59.6928
1990-09-26,60.226
1990-10-03,60.8229
1990-10-10,61.0096
1990-10-17,61.5703
1990-10-24,62.0354
1990-10-31,62.2198
1990-11-07,62.3271
1990-11-14,62.4576
1990-11-21,62.6914
1990-11-28,62.8002
1990-12-05,63.3587
1990-12-12,63.0453
1990-12-19,63.4716
1990-12-26,63.6657
1991-01-02,63.7268
1991-01-09,63.8071
1991-01-16,64.0982
1991-01-23,64.2387
1991-01-30,64.3958
1991-02-06,64.4337
1991-02-13,65.1579
1991-02-20,65.4593
1991-02-27,65.6913
1991-03-06,65.8281
1991-03-13,66.0464
1991-03-20,66.2486
1991-03-27,66.4248
